GARBAGE_COLLECTOR;MEAN_rdtsc;MEDIAN_rdtsc;MEAN_clock;MEDIAN_clock
cheney;13801.54;8990;3.909699;3
custom;12747.5;8364;3.618729;2
generated;7154.843;6992;2.025084;2
BinTreeII_8192B_Y=41_2018-10-03:20:05:21/
cheney;11702.05;10436;3.233281;3
custom;8675.733;8478;2.416796;2
generated;9121.369;8466;2.539658;2
BinTreeII_8192B_Y=4_2018-10-03:19:59:30/
cheney;19042.74;13117;5.276923;4
custom;8806.468;8157;2.434066;2
generated;9621.426;9154;2.671429;3
BinTreeII_8192B_Y=42_2018-10-03:20:05:31/
cheney;19492.95;12200;5.348348;3
custom;9077.88;7837;2.585586;2
generated;9355.856;8006;2.62012;2
BinTreeII_8192B_Y=43_2018-10-03:20:05:40/
cheney;18928.74;14330;5.282759;4
custom;12390.86;8611;3.494828;2
generated;8555.586;8098;2.37069;2
BinTreeII_8192B_Y=44_2018-10-03:20:05:49/
